Unnamed: 0,imdb_ids,movie,year,imdb,metascore,votes,release_date,release_date_norm,title,title_norm,mpaa-rating,mpaa-rating_norm,running-time,franchises,franchises_norm,keywords,keywords_norm,source,source_norm,genre,genre_norm,production_method,production_method_norm,creative_type,creative_type_norm,production_companies,production_companies_norm,production_countries,production_countries_norm,languages,languages_norm,production_budget,domestic_gross,worldwide_gross,imdb_id
32609,160009,The Art of War,2000,57,30.0,27676,"Aug 25, 2000",2000/08/25,The Art of War,Art-of-War-The,R,R-(US),,The Art of War,The-Art-of-War,Mafia,Mafia,Original Screenplay,Original-Screenplay,Thriller/Suspense,Thriller-or-Suspense,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,,,,,40000000,30199105,30199105,160009.0
32612,203230,You Can Count on Me,2000,75,85.0,26391,"Nov 10, 2000",2000/11/10,You Can Count on Me,You-Can-Count-on-Me,R,R-(US),,,,,,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,English,English,1200000,9180275,10827356,203230.0
32613,183659,Pollock,2000,70,77.0,25804,"Dec 15, 2000",2000/12/15,Pollock,Pollock,R,R-(US),,,,Biography;Artists,Biography;Artists,Based on Real Life Events,Based-on-Real-Life-Events,Drama,Drama,Live Action,Live-Action,Dramatization,Dramatization,,,United States,United-States,,,6000000,8596914,10557291,183659.0
32614,217630,Loser,2000,53,35.0,25608,"Jul 21, 2000",2000/07/21,Loser,Loser,R,R-(US),,,,College;Romance,College;Romance,Original Screenplay,Original-Screenplay,Romantic Comedy,Romantic-Comedy,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,,,20000000,15464026,18250106,217630.0
32616,204626,The Watcher,2000,53,22.0,24563,"Sep 8, 2000",2000/09/08,The Watcher,Watcher-The,R,R-(US),,,,Serial Killer,Serial-Killer,Original Screenplay,Original-Screenplay,Thriller/Suspense,Thriller-or-Suspense,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,,,,,33000000,28946615,47267829,204626.0
32618,174480,Autumn in New York,2000,57,24.0,23678,"Aug 11, 2000",2000/08/11,Autumn in New York,Autumn-in-New-York,PG-13,PG-13-(US),103.0,,,,,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,Lakeshore Entertainment,Lakeshore-Entertainment,United States,United-States,English,English,40000000,37752931,90717684,174480.0
32620,208874,The Contender,2000,69,59.0,22077,"Oct 13, 2000",2000/10/13,The Contender,Contender-The,R,R-(US),,,,,,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,DreamWorks Pictures,DreamWorks-Pictures,,,,,9000000,17804273,17804273,208874.0
32624,222851,Brother,2000,72,47.0,20794,"Jul 20, 2001",2001/07/20,Brother,Brother,R,R-(US),,,,Mafia,Mafia,Original Screenplay,Original-Screenplay,Thriller/Suspense,Thriller-or-Suspense,Live Action,Live-Action,,,,,,,,,12000000,450594,450594,222851.0
32629,158622,The Flintstones in Viva Rock Vegas,2000,36,27.0,19853,"Apr 28, 2000",2000/04/28,The Flintstones in Viva Rock Vegas,Flintstones-in-Viva-Rock-Vegas,PG,PG-(US),90.0,Flintstones,Flintstones,Live Action Cartoon;Gambling,Live-Action-Cartoon;Gambling,Based on TV,Based-on-TV,Adventure,Adventure,Live Action,Live-Action,Kids Fiction,Kids-Fiction,Amblin Entertainment,Amblin-Entertainment,United States,United-States,English,English,58000000,35231365,59431365,158622.0
32633,186894,Bounce,2000,57,52.0,19345,"Nov 17, 2000",2000/11/17,Bounce,Bounce,PG-13,PG-13-(US),106.0,,,,,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,Steve Golin/Michael Besman,Steve-Golin-Michael-Besman,United States,United-States,English,English,35000000,36805288,53425292,186894.0
32634,138946,The Yards,2000,64,58.0,18741,"Oct 20, 2000",2000/10/20,The Yards,Yards-The,R,R-(US),115.0,,,Mafia,Mafia,Original Screenplay,Original-Screenplay,Drama,Drama,Live Action,Live-Action,Contemporary Fiction,Contemporary-Fiction,,,United States,United-States,English,English,20000000,882710,2282710,138946.0
