Index,Release Date,Title,Production Budget,Domestic Gross,Worldwide Gross,MPAA Rating,Running Time,Source,Genre,Production Method,Creative Type
1474,12/21/2012,The Impossible,40000000,19019882,169590606,PG-13,114,Based on Real Life Events,Drama,Live Action,Dramatization
1475,3/9/2012,A Thousand Words,40000000,18450127,20790486,PG-13,91,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1476,10/20/2006,Marie Antoinette,40000000,15962471,60862471,PG-13,,Based on Fiction Book/Short Story,Drama,Live Action,Dramatization
1477,10/6/2000,Get Carter,40000000,14967182,19417182,R,,Remake,Drama,Live Action,Contemporary Fiction
1478,4/21/1995,Kiss of Death,40000000,14942422,14942422,R,138,Remake,Drama,Live Action,Contemporary Fiction
1479,4/26/2002,"Life, or Something Like It",40000000,14448589,14448589,PG-13,104,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction
1480,5/15/1987,Ishtar,40000000,14375181,14375181,PG-13,,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1481,2/28/1992,Memoirs of an Invisible Man,40000000,14358033,14358033,PG-13,99,Based on Fiction Book/Short Story,Comedy,Live Action,Science Fiction
1482,10/23/2009,Amelia,40000000,14279575,19756077,PG,111,Based on Fiction Book/Short Story,Drama,Live Action,Dramatization
1483,10/23/2009,Cirque du Freak: The Vampire's Assistant,40000000,14046595,39753957,PG-13,109,Based on Fiction Book/Short Story,Action,Live Action,Fantasy
1484,5/7/2004,New York Minute,40000000,14018364,21215882,PG,91,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1485,3/12/1999,The Deep End of the Ocean,40000000,13508635,13508635,PG-13,,Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction
1486,11/5/2004,Alfie,40000000,13395939,35195939,R,106,Remake,Comedy,Live Action,Contemporary Fiction
1487,8/30/2002,FearDotCom,40000000,13208023,13208023,R,,Original Screenplay,Horror,Live Action,Contemporary Fiction
1488,11/7/2008,Soul Men,40000000,12082391,12345883,R,103,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1489,3/20/2015,The Gunman,40000000,10664749,18594227,R,115,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction
1490,8/20/1999,Universal Soldier II: The Return,40000000,10447421,10717421,R,,Original Screenplay,Action,Live Action,Science Fiction
1491,9/25/2009,Pandorum,40000000,10330853,17033431,R,108,Original Screenplay,Horror,Live Action,Science Fiction
1492,9/26/2003,Duplex,40000000,9652000,10070651,PG-13,88,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1493,8/16/2013,Paranoia,40000000,7388654,16340767,PG-13,146,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction
1494,8/1/1980,Raise the Titanic,40000000,7000000,7000000,PG,,,,,
1495,7/10/2015,Baahubali: The Beginning,40000000,6738000,26736665,Not Rated,160,Original Screenplay,Action,Live Action,Historical Fiction
1496,3/9/2018,The Hurricane Heist,40000000,6115824,30964184,PG-13,103,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction
1497,1/4/2002,Impostor,40000000,6114237,7974607,PG-13,,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Science Fiction
1498,11/25/2015,Victor Frankenstein,40000000,5775076,32969209,PG-13,110,Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Science Fiction
1499,11/27/2002,Extreme Ops,40000000,4835968,12624471,PG-13,,Original Screenplay,Action,Live Action,Contemporary Fiction
1500,4/6/2001,Just Visiting,40000000,4777007,16172200,PG-13,,Remake,Comedy,Live Action,Fantasy
1501,6/27/2014,Snowpiercer,40000000,4563029,88069880,R,126,Based on Comic/Graphic Novel,Thriller/Suspense,Live Action,Science Fiction
1502,7/20/2007,Sunshine,40000000,3688560,32030610,R,107,Original Screenplay,Thriller/Suspense,Live Action,Science Fiction
1503,3/11/1994,The Hudsucker Proxy,40000000,2816518,14938149,PG,111,Original Screenplay,Comedy,Live Action,Historical Fiction
1504,11/11/2016,Billy Lynns Long Halftime Walk,40000000,1738477,30230402,R,110,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction
1505,7/1/1986,Pirates,40000000,1641825,6341825,R,,,,,
1506,12/12/2008,Delgo,40000000,915840,915840,PG,89,Original Screenplay,Adventure,Digital Animation,Kids Fiction
1507,9/7/2007,The Hunting Party,40000000,876671,7729552,R,,Based on Factual Book/Article,Adventure,Live Action,Dramatization
1508,10/13/2006,Alex Rider: Operation Stormbreaker,40000000,659210,20722450,PG,,Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction
1509,11/20/2009,Red Cliff,40000000,627047,119627047,R,,Based on Real Life Events,Action,Live Action,Dramatization
1510,9/24/2004,The Last Shot,40000000,463730,463730,R,,Based on Real Life Events,Comedy,Live Action,Dramatization
1511,3/16/2007,Nomad,40000000,79123,79123,R,,Original Screenplay,Drama,Live Action,Historical Fiction
1512,4/16/2013,Un monstre  Paris ,40000000,0,27000381,PG,,Original Screenplay,Adventure,Digital Animation,Fantasy
1513,11/11/2016,USS Indianapolis: Men of Courage,40000000,0,1663785,R,110,Based on Real Life Events,Drama,Live Action,Dramatization
1514,12/31/2014,Dragon Nest Warriors' Dawn,40000000,0,734423,,,Original Screenplay,Adventure,Digital Animation,Kids Fiction
1515,12/31/2018,The Crow,40000000,0,0,,,Remake,Action,Live Action,Contemporary Fiction
1516,8/14/2009,The Time Traveler's Wife,39000000,63414846,102332135,PG-13,107,Based on Fiction Book/Short Story,Drama,Live Action,Science Fiction
1517,6/17/1983,Superman III,39000000,59950623,59950623,PG,,Based on Comic/Graphic Novel,Adventure,Live Action,Super Hero
1518,2/2/2007,Because I Said So,39000000,42674040,69538833,PG-13,102,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1519,10/5/2012,Frankenweenie,39000000,35287788,81150788,PG,87,Based on Short Film,Adventure,Stop-Motion Animation,Fantasy
1520,3/29/1996,Sgt. Bilko,39000000,30356589,37956589,PG,,Based on TV,Comedy,Live Action,Contemporary Fiction
1521,9/30/2005,Serenity,39000000,25514517,40319440,PG-13,119,Based on TV,Action,Animation/Live Action,Science Fiction
1522,9/7/2007,Shoot 'Em Up,39000000,12796824,26796824,R,87,Original Screenplay,Action,Live Action,Contemporary Fiction
1523,2/20/2004,Against the Ropes,39000000,5881504,6429865,PG-13,111,Based on Real Life Events,Drama,Live Action,Dramatization
1524,8/23/2013,Yi dai zong shi,38600000,6594959,57987299,PG-13,130,Based on Real Life Events,Action,Live Action,Dramatization
1525,6/22/2001,The Fast and the Furious,38000000,144512310,206512310,PG-13,107,Based on Factual Book/Article,Action,Live Action,Contemporary Fiction
1526,9/27/2002,Sweet Home Alabama,38000000,127214072,182365114,PG-13,109,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1527,7/24/2009,The Ugly Truth,38000000,88915214,205298907,R,95,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction
1528,8/7/2002,Spy Kids 2: The Island of Lost Dreams,38000000,85846296,119721296,PG,,Original Screenplay,Adventure,Live Action,Kids Fiction
1529,11/18/1994,Star Trek: Generations,38000000,75671262,120000000,PG,118,Based on TV,Adventure,Live Action,Science Fiction
1530,6/2/2017,Captain Underpants: The First Epic Movie,38000000,73921000,126577874,PG,89,Original Screenplay,Adventure,Digital Animation,Kids Fiction
1531,4/17/2015,Paul Blart: Mall Cop 2,38000000,71091594,107650646,PG,94,Original Screenplay,Adventure,Live Action,Contemporary Fiction
1532,12/19/1997,Mouse Hunt,38000000,61894591,61894591,PG,97,Original Screenplay,Adventure,Live Action,Kids Fiction
1533,12/23/2016,Why Him?,38000000,60323786,117428194,R,111,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1534,4/22/2011,Water for Elephants,38000000,58709717,116809717,PG-13,120,Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction
1535,10/8/2010,Life as We Know It,38000000,53374681,105887837,PG-13,113,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction
1536,12/29/1999,The Hurricane,38000000,50699241,73956241,R,146,Based on Real Life Events,Drama,Live Action,Dramatization
1537,9/6/2013,Riddick,38000000,42025135,94763758,R,119,Original Screenplay,Action,Live Action,Science Fiction
1538,3/23/2001,Heartbreakers,38000000,40334024,57753825,PG-13,123,Original Screenplay,Comedy,Live Action,Contemporary Fiction
1539,5/24/2002,Enough,38000000,39177215,50970660,PG-13,,Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction
1540,1/22/2016,The 5th Wave,38000000,34912982,111336398,PG-13,112,Based on Fiction Book/Short Story,Action,Live Action,Science Fiction
1541,2/6/2009,Push,38000000,31811527,44411527,PG-13,111,Original Screenplay,Thriller/Suspense,Live Action,Science Fiction
